Genotype	TimePoint	N	Temp	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 16	4	21.800	0.490	0.245	0.780	LIGHT	0.6644739	.
WT	 17	4	21.825	0.465	0.232	0.739	LIGHT	0.5741569	.
WT	 18	4	21.800	0.455	0.227	0.723	LIGHT	0.5335263	.
WT	 19	4	21.800	0.490	0.245	0.780	LIGHT	0.6644739	.
WT	 20	4	21.800	0.490	0.245	0.780	LIGHT	0.7022348	.
WT	 21	4	21.800	0.490	0.245	0.780	LIGHT	0.6843936	.
WT	 22	4	21.800	0.490	0.245	0.780	LIGHT	0.6473180	.
WT	 23	4	21.800	0.490	0.245	0.780	LIGHT	0.7196483	.
WT	 24	4	21.775	0.519	0.259	0.826	LIGHT	0.8037811	.
WT	 25	4	21.825	0.465	0.232	0.739	LIGHT	0.7071587	.
WT	 26	4	21.800	0.490	0.245	0.780	LIGHT	0.8028754	.
WT	 27	4	21.825	0.465	0.232	0.739	LIGHT	0.7071587	.
WT	 28	4	21.850	0.480	0.240	0.763	LIGHT	0.6692885	.
WT	 29	4	21.850	0.480	0.240	0.763	LIGHT	0.6692885	.
WT	 30	4	21.825	0.506	0.253	0.805	LIGHT	0.6387954	.
WT	 31	4	21.850	0.480	0.240	0.763	LIGHT	0.6692885	.
WT	 32	4	21.850	0.493	0.247	0.785	DARK	0.7263229	.
WT	 33	4	21.825	0.532	0.266	0.846	DARK	0.7608218	.
WT	 34	4	21.800	0.497	0.248	0.790	DARK	0.8719779	.
WT	 35	4	21.800	0.497	0.248	0.790	DARK	0.8658003	.
WT	 36	4	21.800	0.497	0.248	0.790	DARK	0.8760234	.
WT	 37	4	21.825	0.519	0.259	0.826	DARK	0.8889853	.
WT	 38	4	21.800	0.560	0.280	0.891	DARK	0.8857003	.
WT	 39	4	21.825	0.519	0.259	0.826	DARK	0.8466288	.
WT	 40	4	21.800	0.560	0.280	0.891	DARK	0.8516205	.
WT	 41	4	21.825	0.519	0.259	0.826	DARK	0.8466288	.
WT	 42	4	21.800	0.497	0.248	0.790	DARK	0.8760234	.
WT	 43	4	21.825	0.519	0.259	0.826	DARK	0.8063392	.
WT	 44	4	21.800	0.560	0.280	0.891	DARK	0.8857003	.
WT	 45	4	21.825	0.519	0.259	0.826	DARK	0.8782860	.
WT	 46	4	21.800	0.560	0.280	0.891	DARK	0.8857003	.
WT	 47	4	21.825	0.519	0.259	0.826	DARK	0.9123461	.
WT	 48	4	21.800	0.497	0.248	0.790	DARK	0.9032270	.
WT	 49	4	21.825	0.519	0.259	0.826	DARK	0.8384410	.
WT	 50	4	21.775	0.538	0.269	0.856	LIGHT	0.9059341	.
WT	 51	4	21.825	0.457	0.229	0.728	LIGHT	0.7825015	.
WT	 52	4	21.850	0.493	0.247	0.785	LIGHT	0.7986996	.
WT	 53	4	21.825	0.512	0.256	0.815	LIGHT	0.7978135	.
WT	 54	4	21.800	0.497	0.248	0.790	LIGHT	0.8296653	.
WT	 55	4	21.800	0.497	0.248	0.790	LIGHT	0.8296653	.
WT	 56	4	21.800	0.497	0.248	0.790	LIGHT	0.8604046	.
WT	 57	4	21.800	0.497	0.248	0.790	LIGHT	0.8612753	.
WT	 58	4	21.800	0.497	0.248	0.790	LIGHT	0.8612753	.
WT	 59	4	21.800	0.497	0.248	0.790	LIGHT	0.7934965	.
WT	 60	4	21.800	0.497	0.248	0.790	LIGHT	0.7753273	.
WT	 61	4	21.800	0.497	0.248	0.790	LIGHT	0.7753273	.
WT	 62	4	21.800	0.497	0.248	0.790	LIGHT	0.7753273	.
WT	 63	4	21.825	0.465	0.232	0.739	LIGHT	0.7071587	.
WT	 64	4	21.800	0.490	0.245	0.780	LIGHT	0.7168874	.
WT	 65	4	21.775	0.479	0.239	0.762	LIGHT	0.7423067	.
WT	 66	4	21.775	0.479	0.239	0.762	LIGHT	0.8009756	.
WT	 67	4	21.775	0.479	0.239	0.762	LIGHT	0.7337461	.
WT	 68	4	21.775	0.479	0.239	0.762	LIGHT	0.7337461	.
WT	 69	4	21.800	0.523	0.261	0.832	DARK	0.7289054	.
WT	 70	4	21.775	0.519	0.259	0.826	DARK	0.7560288	.
WT	 71	4	21.750	0.507	0.253	0.806	DARK	0.7659850	.
WT	 72	4	21.775	0.519	0.259	0.826	DARK	0.7510131	.
WT	 73	4	21.775	0.519	0.259	0.826	DARK	0.7015143	.
WT	 74	4	21.800	0.497	0.248	0.790	DARK	0.6209193	.
WT	 75	4	21.800	0.497	0.248	0.790	DARK	0.6905447	.
WT	 76	4	21.800	0.497	0.248	0.790	DARK	0.6362795	.
WT	 77	4	21.800	0.497	0.248	0.790	DARK	0.5953985	.
WT	 78	4	21.800	0.497	0.248	0.790	DARK	0.5515957	.
