Genotype	TimePoint	N	O2	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	  3	4	20.352	0.109	0.055	0.174	DARK	0.646863604	.
WT	  4	4	20.413	0.096	0.048	0.152	DARK	0.227670821	.
WT	  5	4	20.430	0.073	0.037	0.117	DARK	0.008867388	**
WT	  6	4	20.458	0.024	0.012	0.038	DARK	0.004569157	***
WT	  7	4	20.452	0.057	0.028	0.090	DARK	0.061510949	.
WT	  8	4	20.460	0.112	0.056	0.178	DARK	0.083489925	.
WT	  9	4	20.460	0.050	0.025	0.079	DARK	0.030664053	*
WT	 10	4	20.480	0.042	0.021	0.068	DARK	0.026563301	*
WT	 11	4	20.495	0.053	0.026	0.084	DARK	0.024183657	*
WT	 12	4	20.438	0.071	0.035	0.113	DARK	0.007344617	**
WT	 13	4	20.410	0.105	0.052	0.166	LIGHT	0.019460612	*
WT	 14	4	20.368	0.109	0.054	0.173	LIGHT	0.124896373	.
WT	 15	4	20.428	0.159	0.080	0.254	LIGHT	0.721909703	.
WT	 16	4	20.523	0.067	0.033	0.106	LIGHT	0.036425375	*
WT	 17	4	20.510	0.050	0.025	0.080	LIGHT	0.012307440	*
WT	 18	4	20.483	0.137	0.068	0.218	LIGHT	0.132129502	.
WT	 19	4	20.483	0.081	0.041	0.130	LIGHT	0.112113846	.
WT	 20	4	20.500	0.096	0.048	0.152	LIGHT	0.062705711	.
WT	 21	4	20.535	0.052	0.026	0.083	LIGHT	0.013007972	*
WT	 22	4	20.530	0.016	0.008	0.026	LIGHT	0.062302899	.
WT	 23	4	20.528	0.039	0.019	0.061	LIGHT	0.012756317	*
WT	 24	4	20.477	0.107	0.054	0.171	LIGHT	0.645623364	.
WT	 25	4	20.488	0.109	0.054	0.173	LIGHT	0.844848717	.
WT	 26	4	20.528	0.085	0.042	0.135	LIGHT	0.096646153	.
WT	 27	4	20.443	0.102	0.051	0.162	LIGHT	0.269865185	.
WT	 28	4	20.530	0.066	0.033	0.106	LIGHT	0.056245657	.
WT	 29	4	20.492	0.067	0.034	0.107	LIGHT	0.050723831	.
WT	 30	4	20.468	0.059	0.030	0.094	LIGHT	0.094546861	.
WT	 31	4	20.455	0.058	0.029	0.092	LIGHT	0.290677202	.
WT	 32	4	20.375	0.042	0.021	0.067	DARK	0.316968764	.
WT	 33	4	20.370	0.060	0.030	0.095	DARK	0.221370324	.
WT	 34	4	20.382	0.078	0.039	0.124	DARK	0.843227205	.
WT	 35	4	20.360	0.094	0.047	0.150	DARK	0.860696020	.
WT	 36	4	20.415	0.101	0.050	0.160	DARK	0.770805178	.
WT	 37	4	20.425	0.074	0.037	0.118	DARK	0.981695079	.
WT	 38	4	20.328	0.174	0.087	0.278	DARK	0.594520115	.
WT	 39	4	20.385	0.071	0.036	0.114	DARK	0.209699510	.
WT	 40	4	20.462	0.066	0.033	0.105	DARK	0.051795538	.
WT	 41	4	20.370	0.107	0.053	0.170	DARK	0.487149846	.
WT	 42	4	20.440	0.100	0.050	0.160	DARK	0.040717226	*
WT	 43	4	20.480	0.094	0.047	0.149	DARK	0.080851488	.
WT	 44	4	20.422	0.077	0.038	0.122	DARK	0.186903303	.
WT	 45	4	20.450	0.078	0.039	0.125	DARK	0.578911669	.
WT	 46	4	20.407	0.083	0.042	0.132	DARK	0.800296884	.
WT	 47	4	20.458	0.069	0.034	0.110	DARK	0.055100537	.
WT	 48	4	20.442	0.098	0.049	0.156	DARK	0.057269585	.
WT	 49	4	20.420	0.093	0.047	0.149	DARK	0.095491498	.
WT	 50	4	20.388	0.092	0.046	0.147	LIGHT	0.141696749	.
WT	 51	4	20.418	0.096	0.048	0.153	LIGHT	0.866703448	.
WT	 52	4	20.440	0.106	0.053	0.169	LIGHT	0.076900078	.
WT	 53	4	20.477	0.073	0.036	0.116	LIGHT	0.010119681	*
WT	 54	4	20.458	0.054	0.027	0.086	LIGHT	0.066770704	.
WT	 55	4	20.485	0.080	0.040	0.128	LIGHT	0.236069851	.
WT	 56	4	20.502	0.051	0.025	0.080	LIGHT	0.104065406	.
WT	 57	4	20.510	0.047	0.023	0.075	LIGHT	0.022779895	*
WT	 58	4	20.440	0.125	0.063	0.199	LIGHT	0.827281879	.
WT	 59	4	20.513	0.095	0.047	0.151	LIGHT	0.129461082	.
WT	 60	4	20.515	0.058	0.029	0.092	LIGHT	0.210887904	.
WT	 61	4	20.525	0.057	0.029	0.091	LIGHT	0.080024365	.
WT	 62	4	20.503	0.106	0.053	0.169	LIGHT	0.723801833	.
WT	 63	4	20.510	0.074	0.037	0.118	LIGHT	0.172827080	.
WT	 64	4	20.515	0.058	0.029	0.092	LIGHT	0.084331475	.
WT	 65	4	20.510	0.051	0.025	0.081	LIGHT	0.011614941	*
WT	 66	4	20.475	0.087	0.043	0.138	LIGHT	0.487939139	.
WT	 67	4	20.440	0.094	0.047	0.150	LIGHT	0.426863756	.
WT	 68	4	20.428	0.057	0.028	0.090	LIGHT	0.603763974	.
WT	 69	4	20.352	0.130	0.065	0.207	DARK	0.576376200	.
WT	 70	4	20.323	0.099	0.050	0.158	DARK	0.220847430	.
WT	 71	4	20.335	0.170	0.085	0.271	DARK	0.432724701	.
WT	 72	4	20.400	0.039	0.020	0.062	DARK	0.231462107	.
WT	 73	4	20.350	0.062	0.031	0.099	DARK	0.548049222	.
WT	 74	4	20.370	0.048	0.024	0.077	DARK	0.740265671	.
WT	 75	4	20.377	0.117	0.059	0.187	DARK	0.727215763	.
WT	 76	4	20.452	0.039	0.020	0.063	DARK	0.062617459	.
WT	 77	4	20.428	0.109	0.055	0.174	DARK	0.137372639	.
WT	 78	4	20.407	0.077	0.038	0.122	DARK	0.062207763	.
WT	 79	4	20.428	0.048	0.024	0.076	DARK	0.158717711	.
WT	 80	4	20.343	0.100	0.050	0.159	DARK	0.437556412	.
WT	 81	4	20.398	0.102	0.051	0.163	DARK	0.703800110	.
WT	 82	4	20.445	0.089	0.044	0.141	DARK	0.003227033	***
WT	 83	4	20.433	0.059	0.030	0.094	DARK	0.087464662	.
WT	 84	4	20.465	0.062	0.031	0.099	DARK	0.090752297	.
WT	 85	4	20.452	0.059	0.030	0.094	DARK	0.182680038	.
WT	 86	4	20.402	0.076	0.038	0.121	DARK	0.303472898	.
WT	 87	4	20.352	0.133	0.066	0.211	LIGHT	0.896894349	.
WT	 88	4	20.433	0.130	0.065	0.206	LIGHT	0.412188840	.
WT	 89	4	20.428	0.087	0.044	0.139	LIGHT	0.579552614	.
WT	 90	4	20.497	0.079	0.040	0.126	LIGHT	0.009214199	**
WT	 91	4	20.445	0.077	0.039	0.123	LIGHT	0.115114152	.
WT	 92	4	20.508	0.059	0.029	0.093	LIGHT	0.116477743	.
WT	 93	4	20.532	0.074	0.037	0.117	LIGHT	0.036410491	*
WT	 94	4	20.422	0.126	0.063	0.201	LIGHT	0.406804216	.
WT	 95	4	20.470	0.024	0.012	0.039	LIGHT	0.021602344	*
WT	 96	4	20.523	0.025	0.012	0.040	LIGHT	0.199738936	.
WT	 97	4	20.528	0.067	0.034	0.107	LIGHT	0.299677497	.
WT	 98	4	20.523	0.057	0.028	0.090	LIGHT	0.481171132	.
WT	 99	4	20.532	0.050	0.025	0.079	LIGHT	0.038845482	*
WT	100	4	20.510	0.070	0.035	0.112	LIGHT	0.191619561	.
WT	101	4	20.528	0.029	0.014	0.046	LIGHT	0.046510209	*
WT	102	4	20.462	0.081	0.041	0.130	LIGHT	0.078427192	.
