Genotype	TimePoint	N	H.3.	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 96	4	0.415	0.098	0.049	0.155	LIGHT	0.199005079	.
112L2	 97	4	0.415	0.095	0.047	0.151	LIGHT	0.290735469	.
112L2	 98	4	0.353	0.034	0.017	0.054	LIGHT	0.478837967	.
112L2	 99	4	0.409	0.050	0.025	0.080	LIGHT	0.037578638	*
112L2	100	4	0.390	0.026	0.013	0.041	LIGHT	0.177507362	.
112L2	101	4	0.379	0.048	0.024	0.076	LIGHT	0.043838274	*
112L2	102	4	0.449	0.072	0.036	0.115	LIGHT	0.077183558	.
112L2	103	4	0.428	0.126	0.063	0.201	LIGHT	0.291918736	.
112L2	104	4	0.410	0.060	0.030	0.096	LIGHT	0.152618857	.
112L2	105	4	0.412	0.045	0.022	0.071	DARK	0.149690541	.
112L2	106	4	0.423	0.076	0.038	0.121	DARK	0.525856884	.
112L2	107	4	0.456	0.093	0.047	0.149	DARK	0.928574073	.
112L2	108	4	0.452	0.100	0.050	0.160	DARK	0.474723791	.
112L2	109	4	0.434	0.080	0.040	0.127	DARK	0.977100870	.
112L2	110	4	0.493	0.092	0.046	0.147	DARK	0.840067580	.
112L2	111	4	0.547	0.177	0.088	0.282	DARK	0.330429896	.
WT	  1	4	0.439	0.065	0.032	0.103	DARK	0.364401909	.
WT	  2	4	0.432	0.106	0.053	0.169	DARK	0.445008040	.
WT	  3	4	0.485	0.118	0.059	0.188	DARK	0.663440539	.
WT	  4	4	0.420	0.103	0.052	0.164	DARK	0.227016167	.
WT	  5	4	0.400	0.079	0.039	0.126	DARK	0.008450377	**
WT	  6	4	0.371	0.025	0.013	0.040	DARK	0.004587255	***
WT	  7	4	0.377	0.062	0.031	0.099	DARK	0.061065124	.
WT	  8	4	0.368	0.120	0.060	0.191	DARK	0.080407292	.
WT	  9	4	0.368	0.053	0.026	0.084	DARK	0.030125604	*
WT	 10	4	0.346	0.046	0.023	0.073	DARK	0.025725730	*
WT	 11	4	0.330	0.057	0.029	0.091	DARK	0.023762689	*
WT	 12	4	0.393	0.077	0.039	0.123	DARK	0.006728552	**
WT	 13	4	0.422	0.112	0.056	0.179	LIGHT	0.019482846	*
WT	 14	4	0.469	0.118	0.059	0.187	LIGHT	0.125510753	.
WT	 15	4	0.404	0.173	0.087	0.276	LIGHT	0.719219461	.
WT	 16	4	0.300	0.072	0.036	0.114	LIGHT	0.035869934	*
WT	 17	4	0.314	0.054	0.027	0.086	LIGHT	0.011178444	*
WT	 18	4	0.346	0.144	0.072	0.229	LIGHT	0.131137493	.
WT	 19	4	0.355	0.088	0.044	0.140	LIGHT	0.108429458	.
WT	 20	4	0.324	0.103	0.052	0.164	LIGHT	0.063047469	.
WT	 21	4	0.298	0.056	0.028	0.089	LIGHT	0.013034581	*
WT	 22	4	0.303	0.017	0.009	0.027	LIGHT	0.061470971	.
WT	 23	4	0.306	0.042	0.021	0.067	LIGHT	0.013327000	*
WT	 24	4	0.360	0.116	0.058	0.184	LIGHT	0.639547503	.
WT	 25	4	0.341	0.114	0.057	0.182	LIGHT	0.861042872	.
WT	 26	4	0.298	0.088	0.044	0.140	LIGHT	0.088115683	.
WT	 27	4	0.398	0.110	0.055	0.176	LIGHT	0.274536314	.
WT	 28	4	0.292	0.072	0.036	0.115	LIGHT	0.054621614	.
WT	 29	4	0.333	0.073	0.036	0.116	LIGHT	0.050577065	.
WT	 30	4	0.360	0.064	0.032	0.102	LIGHT	0.094586737	.
WT	 31	4	0.373	0.063	0.032	0.101	LIGHT	0.288884735	.
WT	 32	4	0.461	0.046	0.023	0.073	DARK	0.326259662	.
WT	 33	4	0.466	0.064	0.032	0.103	DARK	0.226453265	.
WT	 34	4	0.442	0.084	0.042	0.134	DARK	0.841098685	.
WT	 35	4	0.477	0.102	0.051	0.163	DARK	0.865063189	.
WT	 36	4	0.418	0.109	0.055	0.174	DARK	0.773096656	.
WT	 37	4	0.407	0.081	0.040	0.128	DARK	0.980576887	.
WT	 38	4	0.509	0.185	0.092	0.294	DARK	0.604542539	.
WT	 39	4	0.450	0.078	0.039	0.123	DARK	0.209184236	.
WT	 40	4	0.366	0.071	0.035	0.113	DARK	0.048704172	*
WT	 41	4	0.466	0.116	0.058	0.184	DARK	0.479849038	.
WT	 42	4	0.390	0.109	0.054	0.173	DARK	0.040688820	*
WT	 43	4	0.347	0.101	0.051	0.161	DARK	0.080848658	.
WT	 44	4	0.399	0.083	0.041	0.131	DARK	0.188612389	.
WT	 45	4	0.379	0.085	0.043	0.135	DARK	0.563605711	.
WT	 46	4	0.425	0.090	0.045	0.143	DARK	0.803469653	.
WT	 47	4	0.371	0.075	0.038	0.120	DARK	0.053499430	.
WT	 48	4	0.388	0.107	0.053	0.170	DARK	0.056603036	.
WT	 49	4	0.412	0.100	0.050	0.160	DARK	0.090430514	.
WT	 50	4	0.436	0.100	0.050	0.159	LIGHT	0.139210048	.
WT	 51	4	0.404	0.104	0.052	0.166	LIGHT	0.880191892	.
WT	 52	4	0.380	0.115	0.058	0.183	LIGHT	0.075217387	.
WT	 53	4	0.339	0.079	0.040	0.126	LIGHT	0.010130953	*
WT	 54	4	0.360	0.058	0.029	0.092	LIGHT	0.064264122	.
WT	 55	4	0.341	0.086	0.043	0.138	LIGHT	0.231189125	.
WT	 56	4	0.322	0.055	0.027	0.087	LIGHT	0.100189275	.
WT	 57	4	0.314	0.050	0.025	0.080	LIGHT	0.021047965	*
WT	 58	4	0.390	0.135	0.067	0.214	LIGHT	0.828513953	.
WT	 59	4	0.314	0.099	0.049	0.157	LIGHT	0.127866894	.
WT	 60	4	0.297	0.063	0.031	0.100	LIGHT	0.210817827	.
WT	 61	4	0.290	0.057	0.029	0.091	LIGHT	0.074816958	.
WT	 62	4	0.314	0.111	0.055	0.176	LIGHT	0.718201153	.
WT	 63	4	0.317	0.075	0.038	0.120	LIGHT	0.165324058	.
WT	 64	4	0.308	0.063	0.031	0.100	LIGHT	0.079318005	.
WT	 65	4	0.303	0.056	0.028	0.089	LIGHT	0.010947464	*
WT	 66	4	0.352	0.094	0.047	0.150	LIGHT	0.489700355	.
WT	 67	4	0.380	0.102	0.051	0.163	LIGHT	0.423142290	.
WT	 68	4	0.393	0.062	0.031	0.099	LIGHT	0.595250521	.
WT	 69	4	0.482	0.135	0.068	0.215	DARK	0.588867346	.
WT	 70	4	0.517	0.108	0.054	0.172	DARK	0.224809641	.
WT	 71	4	0.502	0.179	0.090	0.285	DARK	0.421539059	.
