Genotype	TimePoint	N	dO2	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 20	4	0.308	0.098	0.049	0.156	LIGHT	0.064248592	.
WT	 21	4	0.282	0.053	0.027	0.085	LIGHT	0.012678652	*
WT	 22	4	0.287	0.017	0.008	0.027	LIGHT	0.062104524	.
WT	 23	4	0.290	0.040	0.020	0.063	LIGHT	0.012928316	*
WT	 24	4	0.341	0.110	0.055	0.175	LIGHT	0.645815705	.
WT	 25	4	0.323	0.108	0.054	0.172	LIGHT	0.861040938	.
WT	 26	4	0.282	0.083	0.042	0.132	LIGHT	0.090985618	.
WT	 27	4	0.377	0.105	0.052	0.167	LIGHT	0.278846686	.
WT	 28	4	0.277	0.068	0.034	0.108	LIGHT	0.056257440	.
WT	 29	4	0.316	0.068	0.034	0.109	LIGHT	0.050828698	.
WT	 30	4	0.341	0.061	0.030	0.097	LIGHT	0.094964356	.
WT	 31	4	0.354	0.060	0.030	0.095	LIGHT	0.290337537	.
WT	 32	4	0.436	0.043	0.022	0.069	DARK	0.318958968	.
WT	 33	4	0.441	0.062	0.031	0.099	DARK	0.224152092	.
WT	 34	4	0.418	0.080	0.040	0.127	DARK	0.845942015	.
WT	 35	4	0.452	0.097	0.048	0.154	DARK	0.860050886	.
WT	 36	4	0.395	0.103	0.052	0.165	DARK	0.769188370	.
WT	 37	4	0.385	0.076	0.038	0.121	DARK	0.981852518	.
WT	 38	4	0.482	0.175	0.088	0.279	DARK	0.599749241	.
WT	 39	4	0.426	0.073	0.037	0.117	DARK	0.210724713	.
WT	 40	4	0.346	0.068	0.034	0.108	DARK	0.048211535	*
WT	 41	4	0.442	0.110	0.055	0.175	DARK	0.485072185	.
WT	 42	4	0.369	0.103	0.051	0.164	DARK	0.041457281	*
WT	 43	4	0.328	0.096	0.048	0.153	DARK	0.080491212	.
WT	 44	4	0.377	0.079	0.039	0.126	DARK	0.190570599	.
WT	 45	4	0.359	0.081	0.040	0.128	DARK	0.565822569	.
WT	 46	4	0.403	0.085	0.043	0.135	DARK	0.802281410	.
WT	 47	4	0.351	0.071	0.035	0.112	DARK	0.052673164	.
WT	 48	4	0.367	0.101	0.050	0.160	DARK	0.056664954	.
WT	 49	4	0.390	0.096	0.048	0.153	DARK	0.092266631	.
WT	 50	4	0.413	0.095	0.047	0.150	LIGHT	0.141374062	.
WT	 51	4	0.382	0.099	0.049	0.157	LIGHT	0.875782665	.
WT	 52	4	0.359	0.109	0.054	0.173	LIGHT	0.073852355	.
WT	 53	4	0.321	0.075	0.037	0.119	LIGHT	0.010094331	*
WT	 54	4	0.341	0.055	0.028	0.088	LIGHT	0.066052513	.
WT	 55	4	0.324	0.082	0.041	0.131	LIGHT	0.236200295	.
WT	 56	4	0.305	0.052	0.026	0.083	LIGHT	0.104160712	.
WT	 57	4	0.298	0.048	0.024	0.076	LIGHT	0.022364039	*
WT	 58	4	0.370	0.128	0.064	0.204	LIGHT	0.828736671	.
WT	 59	4	0.298	0.093	0.047	0.149	LIGHT	0.127497064	.
WT	 60	4	0.282	0.060	0.030	0.095	LIGHT	0.209679631	.
WT	 61	4	0.274	0.055	0.027	0.087	LIGHT	0.077462124	.
WT	 62	4	0.298	0.105	0.052	0.167	LIGHT	0.722564519	.
WT	 63	4	0.300	0.072	0.036	0.114	LIGHT	0.171319308	.
WT	 64	4	0.292	0.059	0.030	0.094	LIGHT	0.081006637	.
WT	 65	4	0.287	0.053	0.026	0.084	LIGHT	0.011191988	*
WT	 66	4	0.333	0.089	0.044	0.141	LIGHT	0.483547179	.
