Genotype	TimePoint	N	YA	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 41	4	2521.25	1747.345	 873.672	 2780.416	DARK	0.6412465076	.
WT	 42	4	1189.00	1057.533	 528.767	 1682.771	DARK	0.1994412810	.
WT	 43	4	1699.25	1522.454	 761.227	 2422.564	DARK	0.0797693391	.
WT	 44	4	1374.00	 857.863	 428.931	 1365.051	DARK	0.0870198810	.
WT	 45	4	2536.00	1842.472	 921.236	 2931.784	DARK	0.3306144201	.
WT	 46	4	2113.75	2245.877	1122.939	 3573.692	DARK	0.1921596572	.
WT	 47	4	1150.25	 637.577	 318.788	 1014.527	DARK	0.0095806649	**
WT	 48	4	1939.75	1581.816	 790.908	 2517.022	DARK	0.6277640757	.
WT	 49	4	3056.50	1788.007	 894.004	 2845.118	DARK	0.1511884836	.
WT	 50	4	2306.75	 251.633	 125.816	  400.403	LIGHT	0.4611613368	.
WT	 51	4	1326.50	2072.811	1036.406	 3298.305	LIGHT	0.6706755560	.
WT	 52	4	2211.50	1456.098	 728.049	 2316.977	LIGHT	0.0782459851	.
WT	 53	4	1174.50	1722.545	 861.273	 2740.954	LIGHT	0.1097165770	.
WT	 54	4	2275.00	3521.285	1760.642	 5603.149	LIGHT	0.4014298093	.
WT	 55	4	1343.25	1480.881	 740.440	 2356.412	LIGHT	0.2511304562	.
WT	 56	4	 555.00	 643.436	 321.718	 1023.850	LIGHT	0.0720549130	.
WT	 57	4	1265.75	1907.174	 953.587	 3034.740	LIGHT	0.1883446941	.
WT	 58	4	1031.50	 985.367	 492.684	 1567.939	LIGHT	0.1751160702	.
WT	 59	4	 183.50	 278.670	 139.335	  443.426	LIGHT	0.0173058988	*
WT	 60	4	 743.75	 797.349	 398.674	 1268.760	LIGHT	0.0088148090	**
WT	 61	4	 993.00	1094.175	 547.088	 1741.077	LIGHT	0.0975423801	.
WT	 62	4	1772.50	1387.045	 693.523	 2207.098	LIGHT	0.2087013504	.
WT	 63	4	2894.75	3689.300	1844.650	 5870.500	LIGHT	0.3459440525	.
WT	 64	4	1733.25	1537.803	 768.901	 2446.987	LIGHT	0.0036528020	***
WT	 65	4	1045.00	1224.807	 612.404	 1948.942	LIGHT	0.0018652880	***
WT	 66	4	 904.75	 656.779	 328.390	 1045.082	LIGHT	0.4570897534	.
WT	 67	4	2637.50	1583.662	 791.831	 2519.959	LIGHT	0.0758578655	.
WT	 68	4	2505.50	2061.955	1030.977	 3281.030	LIGHT	0.2150793778	.
WT	 69	4	4755.50	1111.627	 555.813	 1768.846	DARK	0.0233529059	*
WT	 70	4	3132.75	 768.410	 384.205	 1222.711	DARK	0.4861280164	.
WT	 71	4	2386.50	1447.998	 723.999	 2304.088	DARK	0.3254341538	.
WT	 72	4	3090.75	2110.161	1055.081	 3357.738	DARK	0.2693050914	.
WT	 73	4	3088.00	1438.583	 719.292	 2289.107	DARK	0.1790189088	.
WT	 74	4	3304.25	1658.289	 829.145	 2638.708	DARK	0.3242619442	.
WT	 75	4	2372.75	1468.702	 734.351	 2337.033	DARK	0.5669933228	.
WT	 76	4	1983.25	1681.930	 840.965	 2676.326	DARK	0.1158569430	.
WT	 77	4	1222.75	 948.085	 474.042	 1508.615	DARK	0.0479267954	*
WT	 78	4	2101.75	1086.580	 543.290	 1728.992	DARK	0.1584653134	.
WT	 79	4	1945.25	 731.461	 365.730	 1163.917	DARK	0.5443922170	.
WT	 80	4	2429.25	1093.596	 546.798	 1740.155	DARK	0.5967566238	.
WT	 81	4	 920.75	 881.194	 440.597	 1402.177	DARK	0.2023258149	.
WT	 82	4	1174.50	 837.522	 418.761	 1332.684	DARK	0.0085321874	**
WT	 83	4	1314.00	1297.100	 648.550	 2063.975	DARK	0.0793564801	.
WT	 84	4	 940.25	 692.925	 346.462	 1102.598	DARK	0.0113687073	*
WT	 85	4	1446.50	 897.290	 448.645	 1427.789	DARK	0.0380718004	*
WT	 86	4	2669.25	 260.152	 130.076	  413.959	DARK	0.2119776267	.
WT	 87	4	1599.75	1901.843	 950.921	 3026.256	LIGHT	0.1203447356	.
WT	 88	4	1655.75	1566.909	 783.455	 2493.302	LIGHT	0.8993054842	.
WT	 89	4	1941.25	 969.023	 484.511	 1541.931	LIGHT	0.2688222023	.
WT	 90	4	1095.75	 930.841	 465.421	 1481.176	LIGHT	0.0004297725	****
WT	 91	4	1745.25	 865.349	 432.675	 1376.963	LIGHT	0.6607046267	.
WT	 92	4	 501.50	 396.147	 198.073	  630.358	LIGHT	0.0023525079	***
WT	 93	4	 331.75	 349.481	 174.740	  556.102	LIGHT	0.0006527235	****
WT	 94	4	2713.75	2324.758	1162.379	 3699.208	LIGHT	0.0399224102	*
