Genotype	TimePoint	N	CumPerF	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 43	4	 37351.75	13805.781	 6902.891	21968.079	DARK	0.39081409	.
WT	 44	4	 37874.00	13632.354	 6816.177	21692.117	DARK	0.40204176	.
WT	 45	4	 38816.50	14185.407	 7092.704	22572.148	DARK	0.41592662	.
WT	 46	4	 39700.75	14527.536	 7263.768	23116.552	DARK	0.40061819	.
WT	 47	4	 40271.00	14759.795	 7379.898	23486.128	DARK	0.38200581	.
WT	 48	4	 41031.25	14901.359	 7450.679	23711.387	DARK	0.37084914	.
WT	 49	4	 42135.75	15358.249	 7679.125	24438.402	DARK	0.33853133	.
WT	 50	4	 43154.50	15376.323	 7688.161	24467.161	LIGHT	0.33858529	.
WT	 51	4	 43739.50	15721.624	 7860.812	25016.613	LIGHT	0.32908923	.
WT	 52	4	 44486.00	16044.603	 8022.302	25530.544	LIGHT	0.30335047	.
WT	 53	4	 44963.25	16311.140	 8155.570	25954.663	LIGHT	0.27830105	.
WT	 54	4	 45832.25	16729.008	 8364.504	26619.585	LIGHT	0.26634842	.
WT	 55	4	 46335.25	17060.967	 8530.484	27147.806	LIGHT	0.25928595	.
WT	 56	4	 46763.25	17150.068	 8575.034	27289.585	LIGHT	0.24351090	.
WT	 57	4	 47348.75	17432.188	 8716.094	27738.501	LIGHT	0.21915028	.
WT	 58	4	 47867.75	17732.157	 8866.078	28215.819	LIGHT	0.21130029	.
WT	 59	4	 48118.50	17906.350	 8953.175	28492.999	LIGHT	0.19590270	.
WT	 60	4	 48463.25	18108.380	 9054.190	28814.474	LIGHT	0.18362653	.
WT	 61	4	 48876.25	18320.729	 9160.365	29152.369	LIGHT	0.17348244	.
WT	 62	4	 49424.50	18704.774	 9352.387	29763.469	LIGHT	0.17320537	.
WT	 63	4	 50034.00	18862.063	 9431.032	30013.751	LIGHT	0.16733597	.
WT	 64	4	 50685.00	19336.632	 9668.316	30768.896	LIGHT	0.15591709	.
WT	 65	4	 51168.00	19517.686	 9758.843	31056.994	LIGHT	0.14543659	.
WT	 66	4	 51531.00	19707.294	 9853.647	31358.703	LIGHT	0.15492527	.
WT	 67	4	 52429.75	20055.745	10027.872	31913.165	LIGHT	0.14463838	.
WT	 68	4	 53111.25	20280.127	10140.064	32270.208	LIGHT	0.14166477	.
WT	 69	4	 54612.75	20323.846	10161.923	32339.774	DARK	0.13941028	.
WT	 70	4	 55932.50	20209.426	10104.713	32157.706	DARK	0.13825376	.
WT	 71	4	 56747.50	20298.126	10149.063	32298.849	DARK	0.13274021	.
WT	 72	4	 57766.00	20582.742	10291.371	32751.736	DARK	0.13864677	.
WT	 73	4	 58809.50	20909.154	10454.577	33271.130	DARK	0.13840745	.
WT	 74	4	 59956.75	21191.557	10595.779	33720.497	DARK	0.13959428	.
WT	 75	4	 60871.75	21577.887	10788.944	34335.234	DARK	0.14906344	.
