Genotype	TimePoint	N	PerF	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 76	4	 677.50	 410.004	205.002	 652.407	DARK	0.6784798002	.
WT	 77	4	 566.50	 330.447	165.223	 525.814	DARK	0.0502345632	.
WT	 78	4	 768.50	 333.969	166.984	 531.419	DARK	0.6056446360	.
WT	 79	4	 816.75	 326.503	163.252	 519.539	DARK	0.7457387127	.
WT	 80	4	1048.25	 380.281	190.140	 605.112	DARK	0.4603174449	.
WT	 81	4	 502.75	 326.375	163.188	 519.336	DARK	0.1828474798	.
WT	 82	4	 592.75	 267.052	133.526	 424.940	DARK	0.0297106632	*
WT	 83	4	 605.00	 551.656	275.828	 877.808	DARK	0.5590433061	.
WT	 84	4	 518.00	 318.808	159.404	 507.295	DARK	0.0871939189	.
WT	 85	4	 705.25	 346.793	173.397	 551.826	DARK	0.0478711606	*
WT	 86	4	1069.00	 160.920	 80.460	 256.060	DARK	0.2887394507	.
WT	 87	4	 567.00	 556.702	278.351	 885.836	LIGHT	0.1343805504	.
WT	 88	4	 587.50	 454.431	227.216	 723.101	LIGHT	0.5116681065	.
WT	 89	4	 722.50	 237.060	118.530	 377.216	LIGHT	0.3960860101	.
WT	 90	4	 436.50	 220.461	110.230	 350.802	LIGHT	0.0015571054	***
WT	 91	4	 762.25	 281.952	140.976	 448.649	LIGHT	0.9459638992	.
WT	 92	4	 287.75	 213.486	106.743	 339.704	LIGHT	0.0006548832	****
WT	 93	4	 203.00	 200.366	100.183	 318.828	LIGHT	0.0017975967	***
WT	 94	4	 998.00	 775.395	387.697	1233.826	LIGHT	0.1408533440	.
WT	 95	4	 703.50	 450.405	225.203	 716.695	LIGHT	0.2081163256	.
WT	 96	4	 568.25	 468.551	234.276	 745.570	LIGHT	0.0182898986	*
WT	 97	4	 820.50	 542.769	271.384	 863.666	LIGHT	0.1740370609	.
WT	 98	4	 531.50	 429.199	214.599	 682.951	LIGHT	0.0368096018	*
WT	 99	4	 574.00	 261.734	130.867	 416.477	LIGHT	0.1063141063	.
WT	100	4	 709.25	 508.972	254.486	 809.889	LIGHT	0.0716926392	.
WT	101	4	 703.25	 344.192	172.096	 547.687	LIGHT	0.0469348986	*
WT	102	4	 831.25	 431.148	215.574	 686.053	LIGHT	0.0959508965	.
WT	103	4	 825.00	 683.358	341.679	1087.375	LIGHT	0.6799729905	.
WT	104	4	 674.25	 156.266	 78.133	 248.653	LIGHT	0.6242844355	.
WT	105	4	 792.50	 728.497	364.248	1159.201	DARK	0.2468138450	.
WT	106	4	 849.00	 350.538	175.269	 557.784	DARK	0.7477766309	.
WT	107	4	1178.75	 582.548	291.274	 926.964	DARK	0.1607148175	.
WT	108	4	 942.75	 300.141	150.071	 477.592	DARK	0.0492605795	*
