Genotype	TimePoint	N	CumYT	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 20	4	 57975.00	 26443.916	13221.958	 42078.172	LIGHT	0.164440648	.
WT	 21	4	 60025.75	 27326.741	13663.371	 43482.943	LIGHT	0.113006335	.
WT	 22	4	 61596.00	 28170.559	14085.280	 44825.646	LIGHT	0.056638700	.
WT	 23	4	 62648.75	 28696.573	14348.287	 45662.652	LIGHT	0.045956804	*
WT	 24	4	 65538.00	 30704.212	15352.106	 48857.253	LIGHT	0.044028308	*
WT	 25	4	 69215.50	 33811.050	16905.525	 53800.926	LIGHT	0.042840096	*
WT	 26	4	 73420.25	 37003.739	18501.869	 58881.206	LIGHT	0.046612055	*
WT	 27	4	 76440.75	 38974.943	19487.471	 62017.832	LIGHT	0.046313633	*
WT	 28	4	 79082.00	 40792.459	20396.229	 64909.905	LIGHT	0.046457763	*
WT	 29	4	 85718.00	 46141.721	23070.861	 73421.775	LIGHT	0.056770914	.
WT	 30	4	 89805.75	 49215.533	24607.767	 78312.896	LIGHT	0.061085106	.
WT	 31	4	 92718.00	 50315.570	25157.785	 80063.300	LIGHT	0.052897693	.
WT	 32	4	 98342.50	 53711.985	26855.993	 85467.755	DARK	0.055361850	.
WT	 33	4	103640.25	 55020.415	27510.208	 87549.758	DARK	0.050384907	.
WT	 34	4	107976.50	 57626.470	28813.235	 91696.573	DARK	0.055894827	.
WT	 35	4	110532.50	 58983.421	29491.711	 93855.785	DARK	0.062678557	.
WT	 36	4	114385.25	 61418.782	30709.391	 97730.987	DARK	0.070683967	.
WT	 37	4	118869.00	 65194.338	32597.169	103738.741	DARK	0.078815984	.
WT	 38	4	123829.50	 68190.289	34095.144	108505.966	DARK	0.089397595	.
WT	 39	4	126344.50	 67989.553	33994.776	108186.551	DARK	0.082401294	.
WT	 40	4	129517.50	 70983.270	35491.635	112950.223	DARK	0.086148221	.
WT	 41	4	132730.00	 72587.133	36293.567	115502.327	DARK	0.090431914	.
WT	 42	4	134295.25	 72090.310	36045.155	114711.770	DARK	0.087280972	.
WT	 43	4	136454.75	 73691.714	36845.857	117259.961	DARK	0.087201518	.
WT	 44	4	138175.75	 73160.552	36580.276	116414.764	DARK	0.085450399	.
WT	 45	4	141432.50	 75214.782	37607.391	119683.502	DARK	0.087766545	.
WT	 46	4	144220.25	 76687.906	38343.953	122027.571	DARK	0.082967136	.
WT	 47	4	145823.00	 77493.204	38746.602	123308.980	DARK	0.076596168	.
WT	 48	4	148298.50	 78623.174	39311.587	125107.015	DARK	0.079950475	.
WT	 49	4	152070.00	 79984.115	39992.058	127272.576	DARK	0.077441272	.
WT	 50	4	155051.00	 79896.090	39948.045	127132.508	LIGHT	0.078394549	.
WT	 51	4	156822.75	 81410.561	40705.281	129542.370	LIGHT	0.080521404	.
WT	 52	4	159618.25	 82909.384	41454.692	131927.332	LIGHT	0.080099390	.
WT	 53	4	161129.25	 84123.753	42061.877	133859.664	LIGHT	0.075118617	.
WT	 54	4	164069.25	 86487.593	43243.796	137621.060	LIGHT	0.075908792	.
WT	 55	4	165796.50	 87864.473	43932.236	139811.983	LIGHT	0.066775176	.
WT	 56	4	166670.50	 88267.006	44133.503	140452.503	LIGHT	0.061368267	.
WT	 57	4	168388.25	 89471.894	44735.947	142369.749	LIGHT	0.057103460	.
