Genotype	TimePoint	N	CumXT.YT	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 14	4	 79984.50	 16011.368	 8005.684	 25477.660	LIGHT	0.52234001	.
WT	 15	4	 83434.25	 16220.494	 8110.247	 25810.426	LIGHT	0.47085906	.
WT	 16	4	 85085.25	 17068.224	 8534.112	 27159.353	LIGHT	0.45775217	.
WT	 17	4	 90043.00	 21061.528	10530.764	 33513.591	LIGHT	0.48207889	.
WT	 18	4	 93906.00	 22546.681	11273.340	 35876.800	LIGHT	0.50075798	.
WT	 19	4	 98080.75	 22096.493	11048.246	 35160.451	LIGHT	0.44839214	.
WT	 20	4	101893.00	 24292.700	12146.350	 38655.106	LIGHT	0.35135256	.
WT	 21	4	104218.75	 25225.680	12612.840	 40139.686	LIGHT	0.27518107	.
WT	 22	4	106645.75	 25801.105	12900.552	 41055.315	LIGHT	0.17747942	.
WT	 23	4	108026.50	 26402.640	13201.320	 42012.492	LIGHT	0.15384769	.
WT	 24	4	114353.00	 30119.956	15059.978	 47927.571	LIGHT	0.21410099	.
WT	 25	4	118286.25	 32943.727	16471.864	 52420.822	LIGHT	0.22193179	.
WT	 26	4	123890.00	 36780.999	18390.499	 58526.777	LIGHT	0.23710153	.
WT	 27	4	128261.75	 37345.998	18672.999	 59425.816	LIGHT	0.23003214	.
WT	 28	4	131132.00	 38998.487	19499.244	 62055.296	LIGHT	0.21501778	.
WT	 29	4	137974.75	 44024.349	22012.175	 70052.564	LIGHT	0.22674860	.
WT	 30	4	144615.50	 47401.745	23700.872	 75426.754	LIGHT	0.23575585	.
WT	 31	4	149372.50	 47157.539	23578.770	 75038.168	LIGHT	0.21881749	.
WT	 32	4	158096.75	 47907.051	23953.526	 76230.809	DARK	0.22598878	.
WT	 33	4	168457.25	 47162.771	23581.386	 75046.493	DARK	0.25792084	.
WT	 34	4	175476.50	 48998.678	24499.339	 77967.831	DARK	0.37098868	.
WT	 35	4	180108.00	 49436.374	24718.187	 78664.302	DARK	0.47235585	.
WT	 36	4	186531.50	 51162.596	25581.298	 81411.108	DARK	0.54018087	.
WT	 37	4	193462.00	 55758.110	27879.055	 88723.596	DARK	0.57555113	.
