Genotype	TimePoint	N	PerA	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 84	4	1191.00	 721.935	 360.967	 1148.760	DARK	0.0199162160	*
WT	 85	4	1893.25	1088.730	 544.365	 1732.412	DARK	0.0250086116	*
WT	 86	4	3860.75	 703.940	 351.970	 1120.125	DARK	0.4129298521	.
WT	 87	4	2027.25	2160.248	1080.124	 3437.437	LIGHT	0.1017425115	.
WT	 88	4	2033.00	1513.422	 756.711	 2408.193	LIGHT	0.8248478644	.
WT	 89	4	2611.00	1272.180	 636.090	 2024.322	LIGHT	0.5182742356	.
WT	 90	4	1208.50	 890.592	 445.296	 1417.130	LIGHT	0.0048599566	***
WT	 91	4	2168.50	 646.354	 323.177	 1028.494	LIGHT	0.8332806962	.
WT	 92	4	 598.25	 460.852	 230.426	  733.318	LIGHT	0.0006134508	****
WT	 93	4	 365.00	 335.687	 167.844	  534.153	LIGHT	0.0003661069	****
WT	 94	4	3307.00	2968.474	1484.237	 4723.505	LIGHT	0.0763638368	.
