Genotype	TimePoint	N	CumCenF	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 65	4	15051.00	 6581.860	3290.930	10473.208	LIGHT	0.12933043	.
WT	 66	4	15223.00	 6648.115	3324.058	10578.635	LIGHT	0.11924188	.
WT	 67	4	15643.25	 6775.369	3387.685	10781.124	LIGHT	0.13070073	.
WT	 68	4	15913.25	 7015.749	3507.875	11163.622	LIGHT	0.13245291	.
WT	 69	4	16546.50	 7076.655	3538.328	11260.538	DARK	0.13691390	.
WT	 70	4	17092.50	 7099.132	3549.566	11296.303	DARK	0.13258089	.
WT	 71	4	17450.00	 7402.240	3701.120	11778.616	DARK	0.13394854	.
WT	 72	4	17658.25	 7604.357	3802.178	12100.229	DARK	0.12109178	.
WT	 73	4	18111.75	 7516.855	3758.428	11960.994	DARK	0.09903389	.
WT	 74	4	18679.50	 7237.477	3618.739	11516.441	DARK	0.08756068	.
WT	 75	4	18976.75	 7181.140	3590.570	11426.796	DARK	0.08262783	.
WT	 76	4	19152.75	 7225.878	3612.939	11497.984	DARK	0.07423173	.
WT	 77	4	19510.25	 7457.765	3728.883	11866.969	DARK	0.08056515	.
WT	 78	4	19793.50	 7489.972	3744.986	11918.217	DARK	0.07633997	.
WT	 79	4	19990.75	 7511.098	3755.549	11951.832	DARK	0.07061514	.
WT	 80	4	20375.00	 7650.574	3825.287	12173.771	DARK	0.06957125	.
WT	 81	4	20434.00	 7644.419	3822.210	12163.977	DARK	0.06134781	.
WT	 82	4	20640.50	 7891.492	3945.746	12557.124	DARK	0.06243453	.
WT	 83	4	20737.50	 7845.824	3922.912	12484.457	DARK	0.06265099	.
WT	 84	4	20813.75	 7896.163	3948.081	12564.557	DARK	0.05436793	.
WT	 85	4	21010.25	 7974.164	3987.082	12688.674	DARK	0.05409184	.
WT	 86	4	21482.75	 8151.558	4075.779	12970.949	DARK	0.05466333	.
WT	 87	4	22027.50	 8065.889	4032.944	12834.629	LIGHT	0.05580978	.
WT	 88	4	22486.75	 8059.457	4029.729	12824.395	LIGHT	0.05773953	.
WT	 89	4	22765.75	 8346.774	4173.387	13281.581	LIGHT	0.05850302	.
WT	 90	4	22857.50	 8444.720	4222.360	13437.434	LIGHT	0.06212023	.
WT	 91	4	23169.50	 8660.814	4330.407	13781.288	LIGHT	0.06783783	.
WT	 92	4	23320.00	 8729.086	4364.543	13889.923	LIGHT	0.06990837	.
WT	 93	4	23432.00	 8822.962	4411.481	14039.301	LIGHT	0.07110621	.
WT	 94	4	23706.50	 8710.579	4355.290	13860.476	LIGHT	0.07314524	.
WT	 95	4	23813.25	 8884.655	4442.328	14137.469	LIGHT	0.07477864	.
WT	 96	4	23825.00	 8903.921	4451.960	14168.125	LIGHT	0.07239880	.
