Genotype	TimePoint	N	CumPerT	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 72	4	339094.25	128690.882	64345.441	204775.911	DARK	0.16548892	.
112L2	 73	4	343554.75	127952.812	63976.406	203601.477	DARK	0.16061959	.
112L2	 74	4	347212.25	129131.788	64565.894	205477.491	DARK	0.16214018	.
112L2	 75	4	350043.25	129666.420	64833.210	206328.209	DARK	0.16965437	.
112L2	 76	4	354225.00	130016.020	65008.010	206884.501	DARK	0.16620127	.
112L2	 77	4	358437.50	129324.426	64662.213	205784.021	DARK	0.15916180	.
112L2	 78	4	363949.75	127203.821	63601.910	202409.665	DARK	0.15285382	.
112L2	 79	4	369411.50	125473.047	62736.523	199655.617	DARK	0.14414844	.
112L2	 80	4	373969.75	124713.127	62356.563	198446.415	DARK	0.13892803	.
112L2	 81	4	378690.50	124331.169	62165.585	197838.635	DARK	0.13575161	.
112L2	 82	4	384731.25	125559.271	62779.636	199792.819	DARK	0.12551772	.
112L2	 83	4	389671.25	124303.540	62151.770	197794.670	DARK	0.11757318	.
112L2	 84	4	395860.50	122829.680	61414.840	195449.431	DARK	0.10822773	.
112L2	 85	4	403231.25	123001.280	61500.640	195722.485	DARK	0.09850886	.
112L2	 86	4	408985.25	121329.475	60664.738	193062.270	DARK	0.09305540	.
112L2	 87	4	415201.75	120760.683	60380.341	192157.195	LIGHT	0.08790017	.
112L2	 88	4	417663.50	120485.271	60242.636	191718.953	LIGHT	0.08757852	.
112L2	 89	4	421837.25	121145.152	60572.576	192768.971	LIGHT	0.08620707	.
112L2	 90	4	427913.50	119534.318	59767.159	190205.775	LIGHT	0.07720740	.
112L2	 91	4	432074.00	119193.739	59596.870	189663.838	LIGHT	0.07759530	.
112L2	 92	4	437297.25	119303.861	59651.931	189839.066	LIGHT	0.07058641	.
112L2	 93	4	441688.50	117721.210	58860.605	187320.715	LIGHT	0.06321082	.
112L2	 94	4	448124.25	114469.826	57234.913	182147.038	LIGHT	0.05643539	.
112L2	 95	4	454588.00	114390.449	57195.225	182020.731	LIGHT	0.05224892	.
