Genotype	TimePoint	N	CenT	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	 37	4	1696.25	 830.197	 415.098	1321.028	DARK	0.9572425000	.
WT	 38	4	2730.25	1453.037	 726.518	2312.106	DARK	0.2288603440	.
WT	 39	4	2177.50	1922.313	 961.156	3058.828	DARK	0.6243452598	.
WT	 40	4	 437.25	 462.370	 231.185	 735.734	DARK	0.0118358475	*
WT	 41	4	2115.50	1277.952	 638.976	2033.506	DARK	0.8579276685	.
WT	 42	4	1021.50	1236.404	 618.202	1967.394	DARK	0.2902256540	.
WT	 43	4	 806.25	 549.921	 274.960	 875.047	DARK	0.1166272715	.
WT	 44	4	1048.25	1888.572	 944.286	3005.140	DARK	0.2163440540	.
WT	 45	4	 933.00	 312.728	 156.364	 497.620	DARK	0.2542839392	.
WT	 46	4	1314.25	1365.775	 682.888	2173.253	DARK	0.8544828031	.
WT	 47	4	 669.00	 455.972	 227.986	 725.554	DARK	0.6667397785	.
WT	 48	4	1472.50	1195.899	 597.949	1902.942	DARK	0.6744936680	.
WT	 49	4	2454.75	1286.650	 643.325	2047.348	DARK	0.2842506181	.
WT	 50	4	2803.75	1504.818	 752.409	2394.502	LIGHT	0.2752078571	.
WT	 51	4	1214.75	1580.561	 790.280	2515.025	LIGHT	0.6040077218	.
WT	 52	4	1171.00	 869.304	 434.652	1383.257	LIGHT	0.2779179635	.
WT	 53	4	 567.75	 465.922	 232.961	 741.385	LIGHT	0.1522384824	.
WT	 54	4	 982.50	 999.059	 499.530	1589.726	LIGHT	0.8690904665	.
WT	 55	4	 296.25	 495.184	 247.592	 787.948	LIGHT	0.3966648476	.
WT	 56	4	 304.25	 410.442	 205.221	 653.104	LIGHT	0.7214956511	.
WT	 57	4	1330.75	1623.404	 811.702	2583.198	LIGHT	0.9110995997	.
WT	 58	4	 774.75	 888.434	 444.217	1413.696	LIGHT	0.7311617160	.
WT	 59	4	  63.00	  73.403	  36.701	 116.801	LIGHT	0.0165657781	*
WT	 60	4	 294.50	 380.109	 190.055	 604.839	LIGHT	0.8585644779	.
WT	 61	4	 583.50	 854.164	 427.082	1359.165	LIGHT	0.2920276153	.
WT	 62	4	 746.50	 895.028	 447.514	1424.189	LIGHT	0.2241720288	.
WT	 63	4	 540.25	 796.993	 398.496	1268.193	LIGHT	0.4509125036	.
WT	 64	4	 466.00	 486.711	 243.356	 774.466	LIGHT	0.9104922161	.
WT	 65	4	 745.75	 661.832	 330.916	1053.122	LIGHT	0.5947594289	.
WT	 66	4	 436.75	 646.200	 323.100	1028.248	LIGHT	0.1200048732	.
WT	 67	4	1913.25	1398.421	 699.211	2225.200	LIGHT	0.1018730500	.
WT	 68	4	 940.50	 888.481	 444.240	1413.771	LIGHT	0.1023587846	.
WT	 69	4	3879.75	 439.417	 219.708	 699.210	DARK	0.0077412445	**
WT	 70	4	3049.75	 648.733	 324.367	1032.279	DARK	0.1231590733	.
WT	 71	4	1776.25	1407.507	 703.753	2239.657	DARK	0.7994589675	.
WT	 72	4	1208.50	1274.369	 637.185	2027.806	DARK	0.0979940941	.
WT	 73	4	2318.50	1443.640	 721.820	2297.153	DARK	0.1547828744	.
WT	 74	4	2833.50	2359.843	1179.921	3755.036	DARK	0.4229303602	.
WT	 75	4	1769.00	1669.957	 834.978	2657.274	DARK	0.3725744669	.
WT	 76	4	1096.50	1533.956	 766.978	2440.867	DARK	0.6096330779	.
WT	 77	4	1344.75	1270.236	 635.118	2021.228	DARK	0.2799961432	.
WT	 78	4	1400.00	1338.943	 669.472	2130.557	DARK	0.0686238057	.
WT	 79	4	1283.75	 913.705	 456.853	1453.909	DARK	0.3066555962	.
WT	 80	4	2014.75	1518.078	 759.039	2415.600	DARK	0.6775601016	.
WT	 81	4	 347.75	 408.588	 204.294	 650.155	DARK	0.1608346007	.
WT	 82	4	1129.75	1681.898	 840.949	2676.275	DARK	0.3699112454	.
WT	 83	4	 687.75	 869.832	 434.916	1384.097	DARK	0.6989968713	.
WT	 84	4	 374.75	 468.355	 234.177	 745.257	DARK	0.0164255686	*
WT	 85	4	1023.00	 865.967	 432.983	1377.946	DARK	0.4993944664	.
WT	 86	4	2496.75	 880.037	 440.019	1400.336	DARK	0.9283434556	.
WT	 87	4	2346.00	2460.287	1230.143	3914.865	LIGHT	0.2786964779	.
WT	 88	4	1738.00	1270.133	 635.067	2021.065	LIGHT	0.4429270395	.
WT	 89	4	1223.50	1413.049	 706.524	2248.476	LIGHT	0.9998429554	.
WT	 90	4	 255.75	 295.322	 147.661	 469.923	LIGHT	0.0050091925	**
WT	 91	4	1312.25	1206.233	 603.116	1919.386	LIGHT	0.7311831697	.
WT	 92	4	 464.25	 708.184	 354.092	1126.878	LIGHT	0.1939811545	.
WT	 93	4	 349.25	 360.613	 180.306	 573.815	LIGHT	0.4800918882	.
WT	 94	4	1466.75	 904.546	 452.273	1439.334	LIGHT	0.1358423422	.
WT	 95	4	 478.50	 957.000	 478.500	1522.801	LIGHT	0.3900126311	.
WT	 96	4	  21.75	  43.500	  21.750	  69.218	LIGHT	0.4383747766	.
WT	 97	4	 252.50	 470.972	 235.486	 749.421	LIGHT	0.4166970693	.
WT	 98	4	  83.00	 166.000	  83.000	 264.143	LIGHT	0.6473570373	.
WT	 99	4	 283.75	 469.298	 234.649	 746.757	LIGHT	0.4191838070	.
WT	100	4	  29.75	  59.500	  29.750	  94.678	LIGHT	0.1714771061	.
WT	101	4	 572.50	 666.014	 333.007	1059.777	LIGHT	0.2146519284	.
