Genotype	TimePoint	N	DistD	sd	se	ci	Phase	ANOVA_pValue	Sign
112L2	 50	4	 5800.75	  831.066	  415.533	 1322.412	LIGHT	0.3724842366	.
112L2	 51	4	 5131.25	 2428.144	 1214.072	 3863.719	LIGHT	0.3975040787	.
112L2	 52	4	 8373.75	 8279.180	 4139.590	13174.023	LIGHT	0.2535320578	.
112L2	 53	4	10296.50	 9543.536	 4771.768	15185.896	LIGHT	0.1412644390	.
112L2	 54	4	 6373.50	 7332.121	 3666.060	11667.040	LIGHT	0.6722050688	.
112L2	 55	4	 8052.00	 6458.614	 3229.307	10277.097	LIGHT	0.1497590205	.
112L2	 56	4	 7339.50	 7535.652	 3767.826	11990.904	LIGHT	0.1961827519	.
112L2	 57	4	 7443.75	 5141.435	 2570.718	 8181.171	LIGHT	0.0941425245	.
112L2	 58	4	 6786.75	 7018.574	 3509.287	11168.117	LIGHT	0.2388936015	.
112L2	 59	4	 4969.75	 3917.452	 1958.726	 6233.540	LIGHT	0.1465296198	.
112L2	 60	4	 4231.25	  490.327	  245.164	  780.220	LIGHT	0.0005307836	****
112L2	 61	4	 4792.75	 2216.647	 1108.324	 3527.180	LIGHT	0.1073244586	.
112L2	 62	4	 4108.25	 2134.615	 1067.308	 3396.649	LIGHT	0.4493967595	.
112L2	 63	4	 3613.75	 2873.315	 1436.657	 4572.085	LIGHT	0.3092968731	.
112L2	 64	4	 4715.00	 1534.968	  767.484	 2442.476	LIGHT	0.2091098439	.
112L2	 65	4	 5170.00	 2274.857	 1137.428	 3619.805	LIGHT	0.2272489791	.
112L2	 66	4	 3591.50	 2285.113	 1142.557	 3636.125	LIGHT	0.5647484756	.
112L2	 67	4	 4669.00	 2040.990	 1020.495	 3247.670	LIGHT	0.2445593762	.
112L2	 68	4	 5491.75	 2098.817	 1049.409	 3339.687	LIGHT	0.1973889941	.
112L2	 69	4	 4211.50	 1814.379	  907.190	 2887.082	DARK	0.0641234764	.
112L2	 70	4	 3419.25	 2273.445	 1136.723	 3617.558	DARK	0.3478938659	.
112L2	 71	4	 4853.25	  858.992	  429.496	 1366.848	DARK	0.7250638311	.
112L2	 72	4	 4057.50	 2825.025	 1412.512	 4495.245	DARK	0.5181616473	.
112L2	 73	4	 7073.25	 7191.252	 3595.626	11442.887	DARK	0.8291176076	.
112L2	 74	4	 4357.75	 2383.278	 1191.639	 3792.327	DARK	0.6039332040	.
112L2	 75	4	 3953.00	 2093.634	 1046.817	 3331.439	DARK	0.3515827868	.
112L2	 76	4	 4637.00	 2131.215	 1065.608	 3391.239	DARK	0.3690472208	.
112L2	 77	4	 4965.50	 1421.968	  710.984	 2262.669	DARK	0.5560922860	.
112L2	 78	4	 7819.75	 6000.629	 3000.314	 9548.339	DARK	0.3351447144	.
112L2	 79	4	 5936.75	 3519.486	 1759.743	 5600.287	DARK	0.4338981592	.
112L2	 80	4	 8923.50	 5640.777	 2820.389	 8975.736	DARK	0.6190548116	.
112L2	 81	4	 6044.25	 3298.181	 1649.091	 5248.143	DARK	0.2235443372	.
112L2	 82	4	 8104.75	 3273.680	 1636.840	 5209.155	DARK	0.4153374092	.
112L2	 83	4	 6832.50	 4666.424	 2333.212	 7425.322	DARK	0.4806545315	.
112L2	 84	4	 6714.75	 2266.758	 1133.379	 3606.917	DARK	0.3338778585	.
112L2	 85	4	 6883.50	 2898.981	 1449.491	 4612.926	DARK	0.4327239652	.
112L2	 86	4	 6369.00	 4036.284	 2018.142	 6422.629	DARK	0.5037096152	.
112L2	 87	4	 7291.50	 3322.984	 1661.492	 5287.610	LIGHT	0.4416815748	.
112L2	 88	4	 5534.75	 3563.782	 1781.891	 5670.772	LIGHT	0.2013689973	.
112L2	 89	4	 6319.50	  849.307	  424.654	 1351.438	LIGHT	0.4700659583	.
112L2	 90	4	 8012.00	 1328.150	  664.075	 2113.383	LIGHT	0.3247804188	.
112L2	 91	4	 5256.50	 4381.346	 2190.673	 6971.699	LIGHT	0.5988155687	.
112L2	 92	4	 5155.50	 1582.596	  791.298	 2518.263	LIGHT	0.0022132756	***
112L2	 93	4	 5392.75	 1182.621	  591.310	 1881.814	LIGHT	0.2710747158	.
112L2	 94	4	 5235.50	 2535.364	 1267.682	 4034.331	LIGHT	0.1315005585	.
112L2	 95	4	 6346.00	 2756.960	 1378.480	 4386.938	LIGHT	0.2515066204	.
112L2	 96	4	 8480.75	 5686.053	 2843.027	 9047.780	LIGHT	0.1580202663	.
112L2	 97	4	 6100.00	 2258.981	 1129.491	 3594.543	LIGHT	0.1449428512	.
112L2	 98	4	 5711.75	 1357.637	  678.818	 2160.303	LIGHT	0.1420754046	.
112L2	 99	4	 4828.50	 1866.527	  933.263	 2970.061	LIGHT	0.8592040709	.
112L2	100	4	 6139.75	 3445.449	 1722.724	 5482.477	LIGHT	0.9917412789	.
112L2	101	4	 4907.75	 2855.432	 1427.716	 4543.630	LIGHT	0.9497734264	.
112L2	102	4	 4611.75	 1635.291	  817.646	 2602.114	LIGHT	0.6891965708	.
112L2	103	4	 6201.50	 1661.399	  830.700	 2643.657	LIGHT	0.4249159881	.
112L2	104	4	 4324.75	 3071.211	 1535.606	 4886.982	LIGHT	0.3682767404	.
112L2	105	4	 5729.00	 2784.661	 1392.331	 4431.017	DARK	0.3266747201	.
112L2	106	4	 5441.50	 2265.985	 1132.993	 3605.688	DARK	0.3329638218	.
112L2	107	4	 6004.25	 1361.014	  680.507	 2165.676	DARK	0.5847112448	.
112L2	108	4	 5861.50	 1904.187	  952.093	 3029.986	DARK	0.6073790872	.
112L2	109	4	 4169.25	 1415.491	  707.746	 2252.362	DARK	0.4314270466	.
112L2	110	4	 5123.50	 2775.657	 1387.829	 4416.690	DARK	0.3187118946	.
112L2	111	4	 6250.75	 2828.231	 1414.116	 4500.347	DARK	0.6266477104	.
WT	  1	4	 4070.50	 1754.130	  877.065	 2791.212	DARK	0.4411287065	.
WT	  2	4	 7807.50	 5998.126	 2999.063	 9544.357	DARK	0.8151238645	.
WT	  3	4	 5487.00	 2345.410	 1172.705	 3732.071	DARK	0.1705191174	.
WT	  4	4	 5452.00	 4987.249	 2493.624	 7935.825	DARK	0.6034202157	.
WT	  5	4	 3700.50	  522.165	  261.083	  830.881	DARK	0.0089975272	**
