Genotype	TimePoint	N	TareFeed	sd	se	ci	Phase	ANOVA_pValue	Sign
WT	  7	4	 0.565	0.163	0.081	0.259	DARK	0.36551338	.
WT	  8	4	 0.722	0.202	0.101	0.321	DARK	0.36666160	.
WT	  9	4	 0.760	0.265	0.132	0.421	DARK	0.39107005	.
WT	 10	4	 0.878	0.340	0.170	0.541	DARK	0.55016313	.
WT	 11	4	 0.905	0.348	0.174	0.554	DARK	0.33595714	.
WT	 12	4	 0.965	0.342	0.171	0.543	DARK	0.31854184	.
WT	 13	4	 1.265	0.493	0.246	0.784	LIGHT	0.37516611	.
WT	 14	4	 1.320	0.439	0.220	0.699	LIGHT	0.20565601	.
WT	 15	4	 1.352	0.392	0.196	0.624	LIGHT	0.13334156	.
WT	 16	4	 1.352	0.392	0.196	0.624	LIGHT	0.12191924	.
WT	 17	4	 1.355	0.393	0.197	0.626	LIGHT	0.09474376	.
WT	 18	4	 1.430	0.366	0.183	0.583	LIGHT	0.07133083	.
WT	 19	4	 1.438	0.367	0.183	0.584	LIGHT	0.06495119	.
WT	 20	4	 1.438	0.367	0.183	0.584	LIGHT	0.06402817	.
WT	 21	4	 1.455	0.372	0.186	0.591	LIGHT	0.05637199	.
WT	 22	4	 1.457	0.373	0.186	0.593	LIGHT	0.05099383	.
WT	 23	4	 1.485	0.378	0.189	0.601	LIGHT	0.04679585	*
WT	 24	4	 1.507	0.388	0.194	0.617	LIGHT	0.04824873	*
WT	 25	4	 1.507	0.388	0.194	0.617	LIGHT	0.06574395	.
WT	 26	4	 1.540	0.400	0.200	0.637	LIGHT	0.07073576	.
WT	 27	4	 1.580	0.425	0.212	0.676	LIGHT	0.07885527	.
WT	 28	4	 1.580	0.425	0.212	0.676	LIGHT	0.07987078	.
WT	 29	4	 1.580	0.425	0.212	0.676	LIGHT	0.06959731	.
WT	 30	4	 1.675	0.393	0.197	0.626	LIGHT	0.06652236	.
WT	 31	4	 1.850	0.520	0.260	0.828	LIGHT	0.10949813	.
WT	 32	4	 1.938	0.494	0.247	0.787	DARK	0.14313360	.
WT	 33	4	 2.225	0.410	0.205	0.652	DARK	0.15475693	.
WT	 34	4	 2.298	0.447	0.223	0.711	DARK	0.19934532	.
WT	 35	4	 2.338	0.471	0.236	0.750	DARK	0.25710568	.
WT	 36	4	 2.535	0.598	0.299	0.951	DARK	0.25846778	.
WT	 37	4	 2.732	0.652	0.326	1.038	DARK	0.34735352	.
WT	 38	4	 2.893	0.543	0.272	0.864	DARK	0.34715508	.
WT	 39	4	 2.942	0.569	0.284	0.905	DARK	0.25015729	.
WT	 40	4	 3.018	0.623	0.312	0.992	DARK	0.27271925	.
WT	 41	4	 3.183	0.650	0.325	1.034	DARK	0.33911665	.
WT	 42	4	 3.277	0.707	0.354	1.125	DARK	0.20503265	.
WT	 43	4	 3.435	0.700	0.350	1.114	DARK	0.16451811	.
WT	 44	4	 3.535	0.770	0.385	1.225	DARK	0.20724675	.
WT	 45	4	 3.595	0.802	0.401	1.277	DARK	0.23775688	.
WT	 46	4	 3.808	0.737	0.369	1.173	DARK	0.27809997	.
WT	 47	4	 3.885	0.769	0.385	1.224	DARK	0.28931520	.
WT	 48	4	 3.895	0.772	0.386	1.228	DARK	0.25273143	.
WT	 49	4	 3.935	0.787	0.394	1.252	DARK	0.18975978	.
WT	 50	4	 4.240	1.017	0.508	1.618	LIGHT	0.25920432	.
WT	 51	4	 4.262	1.025	0.513	1.632	LIGHT	0.25227659	.
WT	 52	4	 4.337	1.061	0.530	1.688	LIGHT	0.20349500	.
WT	 53	4	 4.392	1.085	0.543	1.727	LIGHT	0.17850857	.
WT	 54	4	 4.432	1.124	0.562	1.789	LIGHT	0.15110555	.
WT	 55	4	 4.440	1.128	0.564	1.794	LIGHT	0.11974881	.
WT	 56	4	 4.440	1.128	0.564	1.794	LIGHT	0.11096967	.
WT	 57	4	 4.440	1.128	0.564	1.794	LIGHT	0.10906841	.
WT	 58	4	 4.475	1.147	0.573	1.825	LIGHT	0.11890334	.
WT	 59	4	 4.475	1.147	0.573	1.825	LIGHT	0.10075425	.
WT	 60	4	 4.475	1.147	0.573	1.825	LIGHT	0.09388549	.
WT	 61	4	 4.520	1.177	0.588	1.873	LIGHT	0.09870110	.
WT	 62	4	 4.520	1.177	0.588	1.873	LIGHT	0.09368840	.
WT	 63	4	 4.548	1.202	0.601	1.913	LIGHT	0.09745590	.
WT	 64	4	 4.605	1.228	0.614	1.953	LIGHT	0.10095566	.
WT	 65	4	 4.675	1.267	0.634	2.016	LIGHT	0.09177105	.
WT	 66	4	 4.678	1.269	0.635	2.019	LIGHT	0.08795021	.
WT	 67	4	 4.790	1.242	0.621	1.977	LIGHT	0.10339764	.
WT	 68	4	 4.865	1.285	0.642	2.044	LIGHT	0.12091502	.
WT	 69	4	 5.070	1.231	0.615	1.958	DARK	0.13875493	.
